Date,Close,Volume,Open,High,Low
2019-11-22,56000.0,1625820.0,56300.0,57100.0,55500.0
2019-11-21,56000.0,3303950.0,56800.0,57100.0,55900.0
2019-11-20,56800.0,2291760.0,58200.0,58200.0,56600.0
2019-11-19,58300.0,1059770.0,57500.0,58300.0,57500.0
2019-11-18,57500.0,2794920.0,58400.0,58800.0,57100.0
2019-11-15,58600.0,2568040.0,58300.0,58800.0,57700.0
2019-11-14,58300.0,4799390.0,60500.0,61000.0,57500.0
2019-11-13,60500.0,1333940.0,61200.0,61300.0,60500.0
2019-11-12,61000.0,2842650.0,60000.0,61300.0,60000.0
2019-11-11,60000.0,2180490.0,59700.0,60600.0,59500.0
2019-11-08,59600.0,1219540.0,59800.0,59800.0,59200.0
2019-11-07,59500.0,1438030.0,59500.0,59900.0,59200.0
2019-11-06,59500.0,1551610.0,59800.0,60400.0,59500.0
2019-11-05,59800.0,1239520.0,60100.0,60100.0,59400.0
2019-11-04,59900.0,5811560.0,58700.0,60500.0,58700.0
2019-11-01,58500.0,1732950.0,58000.0,58700.0,57600.0
2019-10-31,57900.0,1263390.0,58000.0,58700.0,57800.0
2019-10-30,57800.0,1102070.0,57900.0,58100.0,57600.0
2019-10-29,57900.0,953020.0,58200.0,58300.0,57800.0
2019-10-28,58100.0,1494820.0,58000.0,58800.0,57800.0
2019-10-25,58000.0,1355310.0,58300.0,58500.0,57700.0
2019-10-24,58200.0,2233890.0,56800.0,58200.0,56400.0
2019-10-23,56400.0,747810.0,56000.0,57000.0,56000.0
2019-10-22,56300.0,1534380.0,56500.0,56600.0,55700.0
2019-10-21,56500.0,1260490.0,57400.0,57400.0,56300.0
2019-10-18,57100.0,1447340.0,56800.0,57600.0,56600.0
2019-10-17,56700.0,1621590.0,57400.0,57500.0,56600.0
2019-10-16,57500.0,829050.0,57800.0,58000.0,57400.0
2019-10-15,57400.0,663910.0,57800.0,57800.0,57400.0
2019-10-14,57700.0,2231030.0,57000.0,58200.0,56800.0
2019-10-11,56500.0,794420.0,56700.0,56900.0,56400.0
2019-10-10,56400.0,808000.0,56600.0,57000.0,56400.0
2019-10-09,56400.0,937530.0,56300.0,57000.0,55800.0
2019-10-08,56100.0,1337220.0,55500.0,56200.0,55200.0
2019-10-07,55500.0,2371810.0,56800.0,57200.0,55500.0
2019-10-04,56800.0,1271210.0,57500.0,57500.0,56700.0
2019-10-03,57200.0,2804850.0,56600.0,57400.0,56400.0
2019-10-02,57200.0,2439020.0,58500.0,58600.0,57200.0
2019-10-01,58500.0,1644130.0,57700.0,58500.0,57600.0
2019-09-30,57700.0,2199170.0,59300.0,59500.0,57700.0
2019-09-27,58500.0,2510520.0,57600.0,58800.0,57400.0
2019-09-26,57700.0,992640.0,57700.0,58000.0,57200.0
2019-09-25,57400.0,1442410.0,56300.0,57400.0,56100.0
2019-09-24,56200.0,2537600.0,56400.0,57000.0,55800.0
2019-09-23,56500.0,2313090.0,58000.0,58300.0,56500.0
2019-09-20,58200.0,1396120.0,57700.0,58800.0,57600.0
2019-09-19,57800.0,1432730.0,56600.0,57800.0,56200.0
2019-09-18,56400.0,2592910.0,57900.0,57900.0,56300.0
2019-09-17,57600.0,1194690.0,57300.0,58100.0,57100.0
2019-09-16,57700.0,1339560.0,56500.0,58000.0,56700.0
2019-09-13,56800.0,2123900.0,56500.0,57400.0,56300.0
2019-09-12,56500.0,3799910.0,54400.0,56500.0,54400.0
2019-09-11,54100.0,1179670.0,54000.0,54200.0,53400.0
2019-09-10,54000.0,1731610.0,54200.0,54400.0,53600.0
2019-09-09,53800.0,2507800.0,53000.0,54400.0,52500.0
2019-09-06,52900.0,1142710.0,52900.0,53200.0,52300.0
2019-09-05,52600.0,1243680.0,53400.0,53500.0,52600.0
2019-09-04,53200.0,1655300.0,53000.0,54200.0,53000.0
2019-09-03,53700.0,1360230.0,53000.0,54000.0,53000.0
2019-08-30,53100.0,708360.0,53000.0,53400.0,52900.0
2019-08-29,52700.0,972940.0,52200.0,52800.0,51900.0
2019-08-28,52100.0,1537860.0,53000.0,53200.0,52100.0
2019-08-27,52800.0,1566370.0,54000.0,54300.0,52800.0
2019-08-26,53700.0,1756160.0,53500.0,54200.0,53500.0
2019-08-23,54400.0,1868200.0,53100.0,54400.0,52600.0
2019-08-22,53000.0,1892640.0,53600.0,54300.0,52900.0
2019-08-21,53600.0,1808020.0,54100.0,54500.0,53400.0
2019-08-20,54000.0,2277750.0,52400.0,54000.0,52400.0
2019-08-19,52400.0,2849780.0,52000.0,52700.0,51200.0
2019-08-16,52000.0,4531020.0,53000.0,55100.0,52000.0
2019-08-15,53000.0,2223880.0,51900.0,53000.0,51400.0
2019-08-14,53200.0,2205370.0,53000.0,53700.0,52800.0
2019-08-13,52500.0,2237980.0,52100.0,53200.0,51700.0
2019-08-12,52300.0,1817920.0,51100.0,52600.0,50700.0
2019-08-09,51100.0,1751680.0,50300.0,51400.0,50000.0
2019-08-08,50300.0,2085510.0,49850.0,50600.0,49850.0
2019-08-07,49750.0,1246410.0,48200.0,49750.0,48950.0
2019-08-06,48950.0,1304570.0,48200.0,49300.0,48200.0
2019-08-05,49000.0,2322100.0,49000.0,49800.0,48800.0
2019-08-02,48800.0,1451900.0,48050.0,49000.0,47850.0
2019-08-01,48350.0,965060.0,48400.0,48600.0,48200.0
2019-07-31,48400.0,1111880.0,47800.0,48400.0,47500.0
2019-07-30,47800.0,2092220.0,48600.0,48600.0,47700.0
