Date,Close,Volume,Open,High,Low
2019-11-22,22350.0,5202380.0,22600.0,22700.0,22100.0
2019-11-21,22400.0,6245670.0,22550.0,22650.0,22100.0
2019-11-20,22600.0,2087190.0,22700.0,22800.0,22550.0
2019-11-19,22750.0,2524600.0,22600.0,22750.0,22500.0
2019-11-18,22600.0,3809480.0,22700.0,22850.0,22600.0
2019-11-15,22750.0,5963420.0,22950.0,22950.0,22700.0
2019-11-14,22950.0,7294520.0,23250.0,23250.0,22850.0
2019-11-13,23250.0,4652680.0,23350.0,23450.0,23150.0
2019-11-12,23300.0,4429160.0,23450.0,23500.0,23300.0
2019-11-11,23450.0,13607900.0,23700.0,23850.0,23350.0
2019-11-08,23400.0,7115080.0,23550.0,23650.0,23350.0
2019-11-07,23500.0,6014090.0,23600.0,23700.0,23400.0
2019-11-06,23550.0,10894700.0,23300.0,23900.0,23250.0
2019-11-05,23250.0,3211270.0,23300.0,23400.0,23200.0
2019-11-04,23300.0,7129260.0,23000.0,23400.0,22950.0
2019-11-01,22950.0,4031340.0,23000.0,23200.0,22850.0
2019-10-31,23000.0,1785050.0,23000.0,23150.0,22900.0
2019-10-30,23050.0,3617120.0,22850.0,23100.0,22800.0
2019-10-29,22850.0,2922370.0,23000.0,23100.0,22850.0
2019-10-28,23000.0,2085490.0,23250.0,23400.0,23000.0
2019-10-25,23200.0,3.0,22950.0,23250.0,22850.0
2019-10-24,22950.0,3.0,22900.0,23050.0,22850.0
2019-10-23,22900.0,1.0,22900.0,22900.0,22800.0
2019-10-22,22850.0,2.0,22650.0,22950.0,22650.0
2019-10-21,22650.0,4.0,22900.0,23000.0,22600.0
2019-10-18,23000.0,4.0,23250.0,23350.0,22950.0
2019-10-17,23200.0,5.0,23300.0,23300.0,23100.0
2019-10-16,23300.0,2.0,23450.0,23600.0,23300.0
2019-10-15,23350.0,3.0,23550.0,23550.0,23300.0
2019-10-14,23450.0,11.0,23000.0,23750.0,23000.0
2019-10-11,22750.0,2.0,22800.0,22900.0,22700.0
2019-10-10,22750.0,3.0,22900.0,22950.0,22750.0
2019-10-09,22900.0,3.0,22650.0,22900.0,22600.0
2019-10-08,22700.0,4.0,22350.0,22700.0,22350.0
2019-10-07,22400.0,5.0,22700.0,22800.0,22400.0
2019-10-04,22650.0,4.0,23000.0,23000.0,22650.0
2019-10-03,22950.0,6.0,22800.0,22950.0,22650.0
2019-10-02,23000.0,5.0,22950.0,23150.0,22800.0
2019-10-01,23050.0,3.0,22900.0,23050.0,22750.0
2019-09-30,22800.0,6.0,22750.0,23050.0,22750.0
2019-09-27,22700.0,4304970.0,22600.0,22750.0,22500.0
2019-09-26,22600.0,4386550.0,22150.0,22600.0,22150.0
2019-09-25,22150.0,3578550.0,22050.0,22150.0,21950.0
2019-09-24,22150.0,3809440.0,22100.0,22150.0,21900.0
2019-09-23,22050.0,3819650.0,22050.0,22300.0,22000.0
2019-09-20,22050.0,4001720.0,22000.0,22250.0,22000.0
2019-09-19,22000.0,2917900.0,21900.0,22000.0,21800.0
2019-09-18,21850.0,6704310.0,23100.0,22150.0,21850.0
2019-09-17,23300.0,4455690.0,23100.0,23400.0,23100.0
2019-09-16,23400.0,4657200.0,23100.0,23650.0,23250.0
2019-09-13,23300.0,7475360.0,23100.0,23500.0,22950.0
2019-09-12,23100.0,4676890.0,22700.0,23100.0,22700.0
2019-09-11,22650.0,1890210.0,22650.0,22700.0,22550.0
2019-09-10,22550.0,4816100.0,22600.0,22900.0,22550.0
2019-09-09,22600.0,2038830.0,22600.0,22750.0,22550.0
2019-09-06,22600.0,3080740.0,22600.0,22700.0,22500.0
2019-09-05,22600.0,3610490.0,23050.0,23100.0,22600.0
2019-09-04,23000.0,3301830.0,23150.0,23000.0,22650.0
2019-09-03,22800.0,8721400.0,23150.0,23400.0,22800.0
2019-08-30,23100.0,3983320.0,23350.0,23450.0,23100.0
2019-08-29,23350.0,4840040.0,23400.0,23450.0,23000.0
2019-08-28,23350.0,4764090.0,23300.0,23400.0,23050.0
2019-08-27,23300.0,11416330.0,23500.0,23750.0,23150.0
2019-08-26,23300.0,14681280.0,22450.0,23300.0,22350.0
2019-08-23,22650.0,2872280.0,22700.0,22800.0,22500.0
2019-08-22,22550.0,4777090.0,22700.0,22900.0,22550.0
2019-08-21,22500.0,6149430.0,22300.0,22700.0,22200.0
2019-08-20,22150.0,2713290.0,22100.0,22350.0,22050.0
2019-08-19,22050.0,2745720.0,22450.0,22600.0,22050.0
2019-08-16,22400.0,4197650.0,22300.0,22600.0,22250.0
2019-08-15,22300.0,3102350.0,22000.0,22300.0,21850.0
2019-08-14,22300.0,3081920.0,22500.0,22600.0,22300.0
2019-08-13,22200.0,4397540.0,21800.0,22300.0,21700.0
2019-08-12,21900.0,4088380.0,21600.0,21950.0,21500.0
2019-08-09,21450.0,1671670.0,21700.0,21750.0,21450.0
2019-08-08,21600.0,3137090.0,21450.0,21750.0,21300.0
2019-08-07,21300.0,1722650.0,21500.0,21550.0,21250.0
2019-08-06,21350.0,3904110.0,21500.0,21600.0,21300.0
2019-08-05,21800.0,3202810.0,21900.0,21950.0,21650.0
2019-08-02,21950.0,3510760.0,21650.0,22100.0,21650.0
2019-08-01,22000.0,1936680.0,22100.0,22150.0,21900.0
2019-07-31,22200.0,3870500.0,21850.0,22200.0,21800.0
2019-07-30,21850.0,4153160.0,22450.0,22600.0,21850.0
2019-07-29,22450.0,4606870.0,22400.0,22500.0,22300.0
2019-07-26,22350.0,4449350.0,22400.0,22450.0,22200.0
2019-07-25,22400.0,5063140.0,22500.0,22800.0,22350.0
2019-07-24,22600.0,5461810.0,22800.0,23000.0,22600.0
2019-07-23,22700.0,7265310.0,22300.0,22750.0,22150.0
2019-07-22,22200.0,5785830.0,22300.0,22600.0,22150.0
2019-07-19,22200.0,4650480.0,22400.0,22450.0,22200.0
2019-07-18,22200.0,5142150.0,21900.0,22200.0,21900.0
2019-07-17,22100.0,8006500.0,21800.0,22200.0,21700.0
2019-07-16,21750.0,4957340.0,21550.0,21950.0,21550.0
2019-07-15,21450.0,2869250.0,21450.0,21500.0,21250.0
2019-07-12,21350.0,5292040.0,21450.0,21750.0,21350.0
2019-07-11,21400.0,2732500.0,21200.0,21450.0,21100.0
2019-07-10,21100.0,2550800.0,21300.0,21450.0,21100.0
2019-07-09,21200.0,1687150.0,21100.0,21250.0,21000.0
2019-07-08,21100.0,2397440.0,21250.0,21400.0,21000.0
2019-07-05,21300.0,2644580.0,21200.0,21400.0,21200.0
2019-07-04,21150.0,2990860.0,21100.0,21300.0,21050.0
2019-07-03,21000.0,1836080.0,21100.0,21150.0,20900.0
