Date,Close,Volume,Open,High,Low
2019-02-19,96000,784000,97200,97900,95500
2019-02-18,97200,971850,95500,97400,95000
2019-02-15,94000,916910,92800,94300,92500
2019-02-14,92500,475450,93100,93700,92300
2019-02-13,93000,571680,91800,93600,91600
2019-02-12,91000,623510,90200,92000,90000
2019-02-11,90500,513260,88800,90500,87800
2019-02-01,88000,329360,88300,88800,88000
2019-01-31,87800,327020,89400,89400,87800
2019-01-30,88000,216190,88000,89000,88000
2019-01-29,87900,309890,88600,89000,87500
2019-01-28,89500,189380,90100,90200,89200
2019-01-25,89500,325280,89400,90300,89300
2019-01-24,89800,332180,90100,91300,89800
2019-01-23,90000,227610,89600,90500,89100
2019-01-22,89700,220970,90800,90900,89700
2019-01-21,90500,257610,90800,91100,89500
2019-01-18,89000,227340,89500,89800,88700
2019-01-17,89000,178680,91000,91000,89000
2019-01-16,90600,198780,90600,91400,90300
2019-01-15,90300,368380,89500,90500,89500
2019-01-14,89500,370320,90800,90800,89000
2019-01-11,91000,338400,91400,91700,90100
2019-01-10,91300,685580,90900,92200,90500
2019-01-09,89900,515500,89700,90400,89000
2019-01-08,88300,600270,86300,88700,86300
2019-01-07,86300,255840,86500,87300,85500
2019-01-04,84500,336550,83800,85500,82400
2019-01-03,84700,404480,86500,87000,84000
2019-01-02,86800,417520,86800,86900,86100
2018-12-28,86600,351010,86500,87100,85200
2018-12-27,86500,555700,87000,87700,85800
2018-12-26,83000,684770,85800,86400,82400
2018-12-25,85800,758570,84500,86500,83500
2018-12-24,89000,718380,91100,91300,89000
2018-12-21,91700,208950,92000,92400,91000
2018-12-20,93500,303240,91600,93500,91600
2018-12-19,92000,802830,93500,93500,90500
2018-12-18,93500,818850,91000,93500,90800
2018-12-17,93000,805870,95800,95800,93000
2018-12-14,95800,584180,97300,98000,95500
2018-12-13,97100,464540,97000,98400,96800
2018-12-12,97000,466030,96100,97600,96100
2018-12-11,96100,613810,97000,97300,96000
2018-12-10,97700,1017190,96500,99000,96200
2018-12-07,96300,936130,95000,96800,95000
2018-12-06,95100,831270,95500,96900,94200
2018-12-05,96100,576190,95500,96500,94500
2018-12-04,96500,850850,97000,97500,95500
2018-12-03,97000,1357490,94000,97000,93200
2018-11-30,90800,437560,90200,91200,89700
2018-11-29,90100,908960,92200,92200,89100
2018-11-28,91500,563260,90600,92500,90500
2018-11-27,90600,529980,91800,92400,90300
2018-11-26,90800,668590,90600,91700,90200
2018-11-23,92500,292670,93000,93600,92100
2018-11-22,93200,295800,93900,95400,93000
2018-11-21,93900,734350,94000,94500,93200
2018-11-20,96100,513460,95800,96900,95100
2018-11-19,96400,516050,95000,97000,95000
2018-11-16,95000,580710,92500,95000,91300
2018-11-15,90400,612630,91900,93000,90100
2018-11-14,90200,807750,92000,93500,89000
2018-11-13,93900,438310,93400,94800,93100
2018-11-12,96600,438100,95000,97400,93500
2018-11-09,95000,681560,99600,99600,95000
2018-11-08,100100,229280,102000,102000,100100
2018-11-07,99800,605260,100800,102000,99100
2018-11-06,101900,413030,103700,104400,101600
2018-11-05,102300,460360,101500,102500,99900
2018-11-02,102700,665140,101300,102900,99500
2018-11-01,101500,282450,103000,103400,101300
2018-10-31,104000,516660,100500,104000,100000
2018-10-30,99000,526490,96600,99500,96200
2018-10-29,97000,481650,101600,101700,95500
2018-10-26,101800,473890,104000,104300,101800
2018-10-25,101800,568570,97000,102000,95100
2018-10-24,101800,798130,107100,108300,101800
2018-10-23,109400,384490,112000,112000,106100
2018-10-22,112000,341980,113000,114600,112000
2018-10-19,112000,654420,110000,113800,110000
2018-10-18,114500,242460,116100,116500,114500
2018-10-17,117100,492070,117100,119500,116800
2018-10-16,116800,316710,115000,118400,114900
2018-10-15,115000,473420,118000,120000,115000
2018-10-12,119900,607890,112600,119900,108000
2018-10-11,112600,944220,112600,116800,112600
2018-10-10,121000,185290,120000,121100,119300
2018-10-09,119300,169930,120000,120000,117900
2018-10-08,116500,347700,117500,118800,116200
2018-10-05,120000,403490,121900,123600,120000
2018-10-04,124000,227900,125000,125000,123000
2018-10-03,122700,239720,120900,123000,120800
2018-10-02,121500,515710,119800,123500,119700
2018-10-01,119600,493290,115800,119900,115800
2018-09-28,115700,286600,118000,118000,115700
2018-09-27,117200,386390,117800,117900,114700
2018-09-26,117100,327570,118000,118800,117100
2018-09-25,118000,411900,118000,119900,118000
2018-09-24,117800,339610,115900,118000,115900
2018-09-21,115900,461610,115600,116800,114300
2018-09-20,116000,563350,113000,116400,112600
2018-09-19,112100,545150,112000,112900,111000
2018-09-18,109600,268030,108000,109800,107200
2018-09-17,109000,687310,108000,110800,107200
2018-09-14,108000,502510,107100,109700,106500
2018-09-13,108000,472370,109200,112500,106700
2018-09-12,109000,1239470,105000,110600,104000
2018-09-11,103500,463340,100000,103500,100000
2018-09-10,100800,197420,100400,102300,100400
2018-09-07,100400,368200,99200,101000,98900
2018-09-06,100200,257060,100000,101500,99000
2018-09-05,100100,508070,101500,103000,98500
2018-09-04,103000,433000,103000,104000,101700
2018-08-31,103000,382800,105000,106200,103000
2018-08-30,105000,723510,101000,105000,100000
2018-08-29,100900,370820,102200,102600,99800
2018-08-28,102200,433220,100900,102500,99700
2018-08-27,100200,451380,100900,101200,100000
2018-08-24,101500,515530,99800,102400,99800
2018-08-23,100400,332960,101000,102200,99100
2018-08-22,100000,569580,98500,100500,98100
2018-08-21,97500,488840,97100,98000,96300
2018-08-20,98200,342360,96200,98300,95800
2018-08-17,96200,245620,97000,97100,95400
2018-08-16,94500,926520,93000,95900,90000
2018-08-15,95000,660200,101200,102000,95000
2018-08-14,101200,399060,103000,103600,100000
2018-08-13,103000,552870,98000,103000,97400
2018-08-10,98700,571920,98200,98800,97200
2018-08-09,98200,573240,97500,98500,96100
2018-08-08,98000,892220,95100,98000,95000
2018-08-07,94000,661110,96500,96500,93700
2018-08-06,96100,795130,94400,97000,93000
2018-08-03,93600,786540,91500,95400,91500
2018-08-02,91000,638300,89300,91500,88100
2018-08-01,88700,601640,87800,90300,87100
2018-07-31,87800,591060,87500,89400,86200
2018-07-30,86900,496190,85300,86900,84000
2018-07-27,84800,328400,84500,85500,83400
2018-07-26,83100,318080,84100,84900,82400
2018-07-25,83700,398500,85500,86400,83600
2018-07-24,84800,406130,84900,86000,82400
2018-07-23,84600,668990,84600,86100,83500
2018-07-20,82700,545360,84000,84000,82100
2018-07-19,84200,455830,84000,85100,83300
2018-07-18,83000,696840,80000,83000,79500
2018-07-17,79000,518690,79600,79800,78000
2018-07-16,81200,219390,82000,82500,80200
2018-07-13,81800,416710,79000,82000,79000
2018-07-12,79000,237010,79000,79900,76100
2018-07-11,77800,616210,78000,80000,76100
2018-07-10,80000,552090,80500,83000,80000
2018-07-09,79500,499120,79500,83800,79500
2018-07-06,79100,744380,73000,79100,70000
2018-07-05,74000,625240,79500,80500,74000
2018-07-04,79500,866710,84000,84600,77900
2018-07-03,83000,550270,88400,88500,83000
2018-07-02,88400,781630,87000,89300,84100
2018-06-29,88500,381860,87300,89000,86000
2018-06-28,87300,423120,88900,89500,87000
2018-06-27,90200,759500,91900,92500,90000
2018-06-26,90000,362610,88000,90500,88000
2018-06-25,91000,559460,93900,94500,91000
2018-06-22,90700,953560,87100,92100,87000
2018-06-21,89100,423980,92000,92000,88500
2018-06-20,92000,590050,88000,92000,85500
2018-06-19,87000,1737920,88500,89500,83700
2018-06-18,90000,804300,95000,95300,90000
2018-06-15,95900,424790,94000,95900,94000
2018-06-14,94000,441200,97000,98000,94000
2018-06-13,96600,581410,93000,96600,93000
2018-06-12,92200,975270,95600,96800,91000
2018-06-11,97200,430500,96000,99900,95100
2018-06-08,97500,886300,99500,101000,96000
2018-06-07,99600,1220730,103000,103000,97000
2018-06-06,102900,610180,101000,103300,99000
2018-06-05,98700,1375130,92000,98700,91900
2018-06-04,92300,948070,92900,93600,91000
2018-06-01,92500,632800,92000,93300,91500
2018-05-31,90400,1078930,91000,93000,90400
2018-05-30,89300,1176750,96000,96000,89300
2018-05-29,96000,1241130,91200,99900,91200
2018-05-28,98000,479870,98000,100000,98000
2018-05-25,105300,479980,110000,111000,105300
2018-05-24,113200,285680,113500,115100,108100
2018-05-23,113300,600060,105500,113300,105000
2018-05-22,105900,464230,108000,110500,102200
2018-05-21,108500,441810,117500,117500,108500
2018-05-18,115000,780910,116000,117000,109100
2018-05-17,116000,403650,121000,122000,116000
2018-05-16,119700,606740,116000,120200,116000
2018-05-15,118600,678850,119000,121500,118600
2018-05-14,118000,617860,111200,118000,111200
2018-05-11,111100,810690,105000,111100,102500
2018-05-10,105000,879660,110100,112500,105000
2018-05-09,107500,820800,104000,109800,103500
2018-05-08,103000,798500,103500,106000,102000
2018-05-07,103500,426370,101000,103500,98700
2018-05-04,98000,686180,98000,101800,96600
2018-05-03,96500,1512540,96500,100000,96500
2018-05-02,103700,284180,103700,108000,103700
2018-04-27,111500,953420,116000,119700,111500
2018-04-26,119800,1075280,128900,129500,119800
2018-04-24,128800,642240,124700,129500,118000
2018-04-23,124700,925000,133700,136000,124700
2018-04-20,134000,947250,128199,134000,128199
2018-04-19,129300,1152430,130800,132200,128100
2018-04-18,129300,804260,129199,129699,127100
2018-04-17,128000,646850,127000,128600,124000
2018-04-16,127300,379940,129500,129500,126200
2018-04-13,128000,410160,132000,132000,126000
2018-04-12,130500,791540,128000,130500,126000
2018-04-11,126500,819030,131500,132500,126500
2018-04-10,129500,594310,130000,131500,129500
2018-04-09,129800,419850,128100,131000,128000
2018-04-06,129800,327230,130000,132900,128500
2018-04-05,129900,1029020,130000,131000,126600
2018-04-04,130000,851340,134900,135000,129000
2018-04-03,133000,738610,136100,136100,133000
